track_id,dot_match_1,dot_score_1,dot_match_2,dot_score_2,dot_match_3,dot_score_3
TRYGDNA128E078780C,TRSABJR128F429C84B,923.0,TRMLZFP128F932290C,917.0,TRIAELA128F149EEE6,906.0
TRDFTPP128F427550C,TRTCOWO128F930C444,1169.0,TRXXGET128F4259B88,949.0,TRRZNYJ128F42B8819,862.0
TRRBWRX128F423C535,TRFUJVJ128F426F2A2,2200.0,TRCHZXW128E079288A,2187.0,TRDPGXU128F9339C2A,2172.0
TRJSTLV128F4241832,TRPUUSG128E07953B7,663.0,TRRVXQX128F429A0C4,500.0,TRYECON128F423ABA0,478.0
TRBRHPE128E0787803,TRDPGXU128F9339C2A,3830.0,TRCHZXW128E079288A,3532.0,TRFUJVJ128F426F2A2,3498.0
TRLJSTZ128F4241831,TRZRTPI12903D0954A,765.0,TRRVXQX128F429A0C4,631.0,TRKKUWM128F92E4E1C,587.0
TRGURIJ128E078780B,TRFUJVJ128F426F2A2,1644.0,TRQAWKR128F425EEC3,1486.0,TRDPGXU128F9339C2A,1450.0
TRYKKOX128F4241839,TRFUJVJ128F426F2A2,1644.0,TRQAWKR128F425EEC3,1486.0,TRDPGXU128F9339C2A,1450.0
TRUVBEG128F92F0B48,TRFUJVJ128F426F2A2,2716.0,TRWSYHO128F4282346,2258.0,TRQAWKR128F425EEC3,1797.0
TRJBNZG128EF35A1AA,TRZZQIP128F92EFEAD,1405.0,TRDOJIR128F42840C0,1331.0,TRTHNFG12903D0CE54,798.0
TRPJAPP128EF35A1AC,TRFLWJZ128F425C9E4,378.0,TRZZQIP128F92EFEAD,373.0,TRRVXQX128F429A0C4,368.0
TRUDTXB128F423C537,TRFUJVJ128F426F2A2,4657.0,TRDPGXU128F9339C2A,2949.0,TRGLNKG128F9307689,2831.0
TRMVVDP128E0787806,TRFUJVJ128F426F2A2,7162.0,TRWSYHO128F4282346,6206.0,TREBGAA128E078FC52,4726.0
TRIEQWR128E078780D,TRFUJVJ128F426F2A2,4545.0,TRWSYHO128F4282346,4530.0,TRDPGXU128F9339C2A,3980.0
TRBEYYM128F1493C56,TRFUJVJ128F426F2A2,2718.0,TRWSYHO128F4282346,2074.0,TRQAWKR128F425EEC3,1737.0
TRPITXR128F427FA1B,TRFUJVJ128F426F2A2,824.0,TRDPGXU128F9339C2A,787.0,TRCHZXW128E079288A,604.0
TRGFMUJ128F423C52F,TRKKUWM128F92E4E1C,311.0,TRRVXQX128F429A0C4,305.0,TRZRTPI12903D0954A,305.0
TRGVTSO12903CABC19,TRFUJVJ128F426F2A2,5833.0,TRWSYHO128F4282346,5385.0,TRDPGXU128F9339C2A,5004.0
TRJGMSL128F4230A6C,TRFUJVJ128F426F2A2,15262.0,TRWSYHO128F4282346,14936.0,TREBGAA128E078FC52,11789.0
TRBGUUE128F1494FB6,TRFUJVJ128F426F2A2,2626.0,TRDPGXU128F9339C2A,2184.0,TRGUCIR128F933D817,1936.0
TREPYPE128F92EB38C,TRKKUWM128F92E4E1C,545.0,TRZRTPI12903D0954A,487.0,TRRVXQX128F429A0C4,476.0
TRGZRPJ128F92EF7E2,TREXCMT128F933D825,666.0,TRBBVNR128E078E1E4,391.0,TRKOMDL128F1499C7D,372.0
TRGXTYR128F42ACF5F,TRTJLTW12903CFF1E9,666.0,TRSVRQN128F42722CC,657.0,TRDOJIR128F42840C0,653.0
TRVXXVG128F933AB88,TRFUJVJ128F426F2A2,2069.0,TRDPGXU128F9339C2A,1701.0,TRBEBJO128C719646B,1376.0
TRLFGML128F92EB391,TRTHNFG12903D0CE54,1313.0,TRIJHLY12903D0CE4D,1097.0,TRTJLTW12903CFF1E9,944.0
TRVFSWI128F42ACE94,TRZZQIP128F92EFEAD,468.0,TRDOJIR128F42840C0,434.0,TRKKUWM128F92E4E1C,407.0
TRMKTUF128F42BC140,TRKKUWM128F92E4E1C,690.0,TRRVXQX128F429A0C4,518.0,TRZZQIP128F92EFEAD,507.0
TRXNYOZ128F42BC146,TRZZQIP128F92EFEAD,1560.0,TRDOJIR128F42840C0,1442.0,TREKUOP12903CD2BA7,760.0
TRYFLQK128F92EF7F1,TRZRTPI12903D0954A,353.0,TRKKUWM128F92E4E1C,344.0,TRRVXQX128F429A0C4,308.0
TRRWCOL128F42AD05D,TRTHNFG12903D0CE54,1672.0,TRIJHLY12903D0CE4D,1408.0,TRWQZXS128F92DB731,1254.0
TRVRPTI128F92EB390,TRTHNFG12903D0CE54,563.0,TRRKWPY12903CAAC5D,560.0,TRSVRQN128F42722CC,524.0
TRGRNWU128F42AE46D,TRBPJQR128F9317942,541.0,TRUKWZW128F92CADC2,456.0,TRABAWI128F424F105,431.0
TRNXWLK128F92EC9A7,TRFUJVJ128F426F2A2,4220.0,TRDPGXU128F9339C2A,3609.0,TRWSYHO128F4282346,3545.0
TRITOVK128F92EC9A0,TRJCBGS128F14689B3,806.0,TRBHYLK128F930160F,617.0,TRKKUWM128F92E4E1C,589.0
TRRLVOI128F92EB38D,TRTHNFG12903D0CE54,1339.0,TRIJHLY12903D0CE4D,1195.0,TRWQZXS128F92DB731,1005.0
TRHPPNF128F42ACFA9,TRTHNFG12903D0CE54,637.0,TRRKWPY12903CAAC5D,496.0,TRIJHLY12903D0CE4D,495.0
TRUXYDP128F93234BD,TRFUJVJ128F426F2A2,5210.0,TRWSYHO128F4282346,4547.0,TRUGLTC128F4227B93,3817.0
TRKVVVK12903CB592C,TRFUJVJ128F426F2A2,9661.0,TRWSYHO128F4282346,7351.0,TRGLNKG128F9307689,6194.0
TRUVVME12903CBA350,TRFUJVJ128F426F2A2,4066.0,TRGUCIR128F933D817,2498.0,TRBVPVV128F425F14F,2455.0
TRZGWCY12903CEF521,TRFUJVJ128F426F2A2,5014.0,TRDPGXU128F9339C2A,3924.0,TRWSYHO128F4282346,3840.0
TRMAVQT128F4270DBF,TRFUJVJ128F426F2A2,6988.0,TRDPGXU128F9339C2A,6505.0,TRCHZXW128E079288A,4945.0
TRWVEDL128F4293EA3,TRFUJVJ128F426F2A2,4084.0,TRDPGXU128F9339C2A,3243.0,TRWSYHO128F4282346,3005.0
TRTVVYX128F9328DBA,TRFUJVJ128F426F2A2,5955.0,TRDPGXU128F9339C2A,5550.0,TRWSYHO128F4282346,4906.0
TRTGPPK128F1459DD4,TRFUJVJ128F426F2A2,2515.0,TRDPGXU128F9339C2A,2423.0,TRWSYHO128F4282346,1961.0
TRHUIRM128F426BFD5,TRFUJVJ128F426F2A2,5022.0,TRWSYHO128F4282346,4542.0,TREBGAA128E078FC52,3645.0
TRJNTQQ128F426BFD0,TRFUJVJ128F426F2A2,3109.0,TRDPGXU128F9339C2A,2835.0,TRWSYHO128F4282346,2564.0
TRZJCNT128F426BFCC,TRFUJVJ128F426F2A2,2809.0,TRDPGXU128F9339C2A,2606.0,TRYCBLK12903CE6A0E,2436.0
TRPZEWS128F92F585E,TRFUJVJ128F426F2A2,3190.0,TRQAWKR128F425EEC3,2087.0,TRDPGXU128F9339C2A,2038.0
TRYPBLE128F1459DD1,TRFUJVJ128F426F2A2,3566.0,TRDPGXU128F9339C2A,2353.0,TRGLNKG128F9307689,1938.0
TRKVITQ128F4271B31,TRFUJVJ128F426F2A2,2915.0,TRDPGXU128F9339C2A,2559.0,TRFLWJZ128F425C9E4,2200.0
TRGZDBB128F4270A4C,TRDPGXU128F9339C2A,4199.0,TRCHZXW128E079288A,4173.0,TROIJDA128F9341E70,3998.0
TRMBNRH12903D02C23,TRFUJVJ128F426F2A2,4157.0,TRDPGXU128F9339C2A,3696.0,TRCHZXW128E079288A,3431.0
TRBXYKU128F427915D,TRFUJVJ128F426F2A2,3952.0,TRDPGXU128F9339C2A,3028.0,TRGLNKG128F9307689,2502.0
TRFRXGD128F42717FF,TRFUJVJ128F426F2A2,2983.0,TRQAWKR128F425EEC3,2310.0,TRDPGXU128F9339C2A,2168.0
TRYIYFG128F42603CC,TRFUJVJ128F426F2A2,4434.0,TRWSYHO128F4282346,3783.0,TREBGAA128E078FC52,3295.0
TRQHDNY128F92E3A01,TRFUJVJ128F426F2A2,3771.0,TRWSYHO128F4282346,3353.0,TRDPGXU128F9339C2A,3267.0
TRGCHXM128F429CBB9,TRFUJVJ128F426F2A2,629.0,TRQAWKR128F425EEC3,486.0,TRFLWJZ128F425C9E4,459.0
TRSJGNV128F92F4124,TRDPGXU128F9339C2A,3022.0,TRFUJVJ128F426F2A2,3006.0,TRCHZXW128E079288A,2863.0
TRHTOYT128F429FEF4,TREIODJ128F9337033,2125.0,TRFUJVJ128F426F2A2,2120.0,TROIJDA128F9341E70,1998.0
TRCFFVR128F145D6DF,TRFUJVJ128F426F2A2,6064.0,TRDPGXU128F9339C2A,4590.0,TRWSYHO128F4282346,4571.0
TRQSGEL128F4242DFC,TRFUJVJ128F426F2A2,2668.0,TRQAWKR128F425EEC3,1994.0,TRXHFMI128F429B2F2,1876.0
TRAIMRN128E0791E72,TRFUJVJ128F426F2A2,3735.0,TRWSYHO128F4282346,3243.0,TRGLNKG128F9307689,3238.0
TRRSVGD128F4242DDC,TRFUJVJ128F426F2A2,1783.0,TRDPGXU128F9339C2A,1706.0,TRQAWKR128F425EEC3,1346.0
TRTXHKL128F4242DD9,TRDPGXU128F9339C2A,3201.0,TRFUJVJ128F426F2A2,3016.0,TRQAWKR128F425EEC3,2922.0
TRADETN128F148CF19,TRFUJVJ128F426F2A2,4244.0,TRWSYHO128F4282346,3642.0,TRGLNKG128F9307689,3111.0
TRKKXKG128E0791E74,TRFUJVJ128F426F2A2,3697.0,TRDPGXU128F9339C2A,3044.0,TRGUCIR128F933D817,2401.0
TRSSUAV128F148D60F,TRFUJVJ128F426F2A2,6004.0,TRDPGXU128F9339C2A,5723.0,TRWSYHO128F4282346,5029.0
TRFROET128F148CF1F,TRFUJVJ128F426F2A2,5745.0,TRWSYHO128F4282346,4144.0,TRDPGXU128F9339C2A,3735.0
TRFHVTT12903CF7CD9,TRFUJVJ128F426F2A2,3085.0,TRWSYHO128F4282346,2497.0,TRQAWKR128F425EEC3,2206.0
TRXZNNF12903CA6F9B,TRFUJVJ128F426F2A2,4698.0,TRWSYHO128F4282346,3862.0,TRDPGXU128F9339C2A,3466.0
TRTSAUB128E07859FC,TRFUJVJ128F426F2A2,3847.0,TRDPGXU128F9339C2A,3846.0,TRWSYHO128F4282346,3807.0
TRFMGIO128F42591F0,TRFUJVJ128F426F2A2,3479.0,TRDPGXU128F9339C2A,3393.0,TRCHZXW128E079288A,3098.0
TRDYUVI128E078F725,TRFUJVJ128F426F2A2,2010.0,TRDPGXU128F9339C2A,1690.0,TRFLWJZ128F425C9E4,1438.0
TRPNLLB128F14956A5,TRFUJVJ128F426F2A2,4422.0,TRWSYHO128F4282346,3751.0,TRDPGXU128F9339C2A,3679.0
TRTDHSB128F422B90F,TRDPGXU128F9339C2A,2793.0,TRCHZXW128E079288A,2726.0,TRFUJVJ128F426F2A2,2672.0
TREXZYC12903CA281A,TRFUJVJ128F426F2A2,4904.0,TRDPGXU128F9339C2A,4482.0,TRWSYHO128F4282346,4328.0
TRDXSGX128F425F173,TRFUJVJ128F426F2A2,886.0,TRUGLTC128F4227B93,685.0,TRDPGXU128F9339C2A,588.0
TREAQSX128E07818CA,TRFUJVJ128F426F2A2,3417.0,TRWSYHO128F4282346,2264.0,TRTLIKK128E07862DA,2193.0
TRBVPVV128F425F14F,TRGUCIR128F933D817,17762.0,TRYUJAX12903CF14E7,12393.0,TRHTUQC128F427D30F,9883.0
TRBROFT128F92F8769,TRFUJVJ128F426F2A2,7159.0,TRDPGXU128F9339C2A,5610.0,TRWSYHO128F4282346,5042.0
TRIIWCU128F92F876A,TRFUJVJ128F426F2A2,2855.0,TRDPGXU128F9339C2A,2445.0,TRCHZXW128E079288A,2084.0
TRVDAHO128F92F231E,TRFUJVJ128F426F2A2,12488.0,TRWSYHO128F4282346,10641.0,TRGLNKG128F9307689,8864.0
TRUGOGT128F92F29E9,TRFUJVJ128F426F2A2,4515.0,TRWSYHO128F4282346,3927.0,TRDPGXU128F9339C2A,3868.0
TRNEITZ128F92F29EA,TRFUJVJ128F426F2A2,1541.0,TRDPGXU128F9339C2A,1175.0,TRGLNKG128F9307689,842.0
TRMIHFS128F92F2A01,TRFUJVJ128F426F2A2,1648.0,TRDPGXU128F9339C2A,1532.0,TRWSYHO128F4282346,1283.0
TRDEVZQ128F931BAED,TRFUJVJ128F426F2A2,1163.0,TRDPGXU128F9339C2A,1160.0,TREBGAA128E078FC52,1140.0
TRCXWLU128F92F2A0D,TRFUJVJ128F426F2A2,1856.0,TRGLNKG128F9307689,1367.0,TRLDRYJ128F930BBB4,1234.0
TRVJTNA128F934D19D,TRFUJVJ128F426F2A2,2013.0,TRTLIKK128E07862DA,1452.0,TRDPGXU128F9339C2A,1150.0
TRRBLPE128F9311B20,TRFUJVJ128F426F2A2,5836.0,TRDPGXU128F9339C2A,5283.0,TRWSYHO128F4282346,4858.0
TRWQYOY128F425BD4C,TRFUJVJ128F426F2A2,3888.0,TRDPGXU128F9339C2A,3138.0,TRGLNKG128F9307689,2836.0
TRLLRQA128F427C709,TRFUJVJ128F426F2A2,1470.0,TRDPGXU128F9339C2A,850.0,TRWSYHO128F4282346,775.0
TRDFWPG128F148D4DF,TRKLJAG128F42B31CF,6749.0,TRCHZXW128E079288A,6677.0,TRDPGXU128F9339C2A,6560.0
TRVWMWN128E0788952,TRFUJVJ128F426F2A2,2808.0,TRWSYHO128F4282346,1708.0,TREBGAA128E078FC52,1654.0
TRDHPGJ128F4289C44,TRFUJVJ128F426F2A2,4574.0,TRWSYHO128F4282346,3212.0,TRDPGXU128F9339C2A,3103.0
TRFSQXF128F9311B25,TRCHZXW128E079288A,5184.0,TRXHFMI128F429B2F2,4802.0,TRDPGXU128F9339C2A,4730.0
TRXACXM12903CEC365,TRBVPVV128F425F14F,5679.0,TRWSYHO128F4282346,5491.0,TRGUCIR128F933D817,5158.0
TRWWVGC12903CB5C50,TRLCWTH128F92C7F82,1426.0,TRCDMRL12903CB105C,1375.0,TRGLNKG128F9307689,1059.0
TRYIJWH128F146948C,TRFUJVJ128F426F2A2,2846.0,TRGLNKG128F9307689,2012.0,TRDPGXU128F9339C2A,1960.0
TRDIAZY12903CB6532,TRFUJVJ128F426F2A2,1744.0,TRDPGXU128F9339C2A,1294.0,TRWSYHO128F4282346,1283.0
TRTUJAL128F423E18D,TRBVPVV128F425F14F,6595.0,TRGUCIR128F933D817,5509.0,TRYUJAX12903CF14E7,3836.0
TRBTXNE12903CB6528,TRFUJVJ128F426F2A2,2670.0,TRDPGXU128F9339C2A,2212.0,TRFLWJZ128F425C9E4,1948.0
TRKQRSQ128F92D5134,TREENUC12903CBE042,420.0,TRJTYVS128F9354DB0,390.0,TRDTODK128F1458778,308.0
TRBFVAA128F423C356,TRFUJVJ128F426F2A2,777.0,TRWSYHO128F4282346,641.0,TRHGZOJ128F14A2ED0,553.0
TRFSCLD12903CD213F,TRCXMEY12903CD1FB6,5616.0,TRCETEN128F42AD6D0,5217.0,TREXCMT128F933D825,4548.0
TRZTQEP128E0792526,TRFUJVJ128F426F2A2,1597.0,TRGUCIR128F933D817,1109.0,TRBVPVV128F425F14F,1086.0
TRLTFVP128E0782B34,TRFUJVJ128F426F2A2,4025.0,TRWSYHO128F4282346,3075.0,TRDPGXU128F9339C2A,2731.0
TRFVWXW128F931A0E9,TRCHZXW128E079288A,494.0,TRFUJVJ128F426F2A2,465.0,TRDPGXU128F9339C2A,416.0
TRKQQMW128F92D54DF,TRFLWJZ128F425C9E4,1518.0,TRDPGXU128F9339C2A,1437.0,TRWSYHO128F4282346,1404.0
TRFYMPB128F93100C0,TRFUJVJ128F426F2A2,8737.0,TRWSYHO128F4282346,7195.0,TREBGAA128E078FC52,6302.0
TRBCSDW128F424D686,TRFUJVJ128F426F2A2,9266.0,TRUGLTC128F4227B93,8377.0,TRVLIZK128F428845E,7883.0
TRRXQJA128F1472A56,TRWSYHO128F4282346,3859.0,TRFUJVJ128F426F2A2,3739.0,TRDPGXU128F9339C2A,3551.0
TRMDYBW128F14A17E8,TRDPGXU128F9339C2A,1426.0,TRGLNKG128F9307689,1253.0,TRHNOMB12903CB2544,1231.0
TRCNUNL128F93437CF,TRFUJVJ128F426F2A2,3529.0,TRDPGXU128F9339C2A,2594.0,TRWSYHO128F4282346,2319.0
TRIPJIJ128F1453AE0,TRFUJVJ128F426F2A2,1240.0,TRGUCIR128F933D817,1176.0,TRBVPVV128F425F14F,1144.0
TRPLRVY128F1473EBE,TRFUJVJ128F426F2A2,4463.0,TREBGAA128E078FC52,3086.0,TRWSYHO128F4282346,3037.0
TRWPUDX128F148F907,TRFUJVJ128F426F2A2,1640.0,TRWSYHO128F4282346,1374.0,TRFLWJZ128F425C9E4,1350.0
TRZQTSM128F9328120,TRFUJVJ128F426F2A2,1133.0,TRGUCIR128F933D817,985.0,TRDPGXU128F9339C2A,970.0
TRNZCWJ128F427099F,TRDPGXU128F9339C2A,1696.0,TRFUJVJ128F426F2A2,1648.0,TRCHZXW128E079288A,1139.0
TRJQRAP128F9314B3F,TRFUJVJ128F426F2A2,4058.0,TREBGAA128E078FC52,3182.0,TRWSYHO128F4282346,2569.0
TRETJUU128F426402A,TROIJDA128F9341E70,3416.0,TRDPGXU128F9339C2A,3347.0,TRFUJVJ128F426F2A2,3332.0
TRNOUUF128F4280B8D,TRCHZXW128E079288A,3749.0,TRDPGXU128F9339C2A,3657.0,TRXHFMI128F429B2F2,3583.0
TREKVTY128E0784BA3,TRFUJVJ128F426F2A2,2367.0,TRDPGXU128F9339C2A,1514.0,TRQAWKR128F425EEC3,1355.0
TRYNAAP128F427EF64,TRFUJVJ128F426F2A2,3703.0,TRDPGXU128F9339C2A,3494.0,TRWSYHO128F4282346,3410.0
TRFMWVJ128E0791E70,TRFUJVJ128F426F2A2,613.0,TRTLIKK128E07862DA,541.0,TRDPGXU128F9339C2A,461.0
TRLTTDC128E079380E,TRFUJVJ128F426F2A2,5681.0,TRWSYHO128F4282346,5126.0,TRDPGXU128F9339C2A,4861.0
TRUCWXA128F92E4944,TRFUJVJ128F426F2A2,1710.0,TRDPGXU128F9339C2A,1085.0,TRGLNKG128F9307689,1072.0
TRGQBAX128F426EFCA,TRFUJVJ128F426F2A2,4363.0,TRDPGXU128F9339C2A,4319.0,TRCHZXW128E079288A,3527.0
TRGSDTP128F92F76D1,TRFUJVJ128F426F2A2,8617.0,TRWSYHO128F4282346,6823.0,TREBGAA128E078FC52,5664.0
TRMRMTN128F92D426F,TRFUJVJ128F426F2A2,5582.0,TRBVPVV128F425F14F,4204.0,TRGUCIR128F933D817,4069.0
TRDFPTZ128F14B108C,TRDPGXU128F9339C2A,2513.0,TRFUJVJ128F426F2A2,2392.0,TRWSYHO128F4282346,2121.0
TROZEMN128F4262CCA,TRFUJVJ128F426F2A2,4724.0,TRDPGXU128F9339C2A,3817.0,TRYCBLK12903CE6A0E,3260.0
TRGAZWQ12903CB0BA9,TRFUJVJ128F426F2A2,1466.0,TRDPGXU128F9339C2A,1176.0,TRLCWTH128F92C7F82,1002.0
TRSNACX128E078AA88,TREZBFM128F428508A,4327.0,TRFUJVJ128F426F2A2,3842.0,TRUGLTC128F4227B93,3580.0
TRXCQOC12903CB0BBA,TRFUJVJ128F426F2A2,1637.0,TRDPGXU128F9339C2A,1278.0,TRYCBLK12903CE6A0E,1016.0
TRPGPVH128F429B2F0,TRFUJVJ128F426F2A2,4554.0,TRDPGXU128F9339C2A,3753.0,TRWSYHO128F4282346,3492.0
TRHLRGU128F42643FB,TRFUJVJ128F426F2A2,3007.0,TRWSYHO128F4282346,2423.0,TRGLNKG128F9307689,2140.0
TRFCCKL128F426EE8E,TRFUJVJ128F426F2A2,7190.0,TRDPGXU128F9339C2A,5605.0,TRWSYHO128F4282346,4521.0
TRGOYOU128F93223F2,TRFUJVJ128F426F2A2,1454.0,TRDPGXU128F9339C2A,1186.0,TRGLNKG128F9307689,1144.0
TROMGSH128F427A408,TRYCBLK12903CE6A0E,1718.0,TRAUNHR128F92DBBC1,1594.0,TRXJTJZ128F4295464,1481.0
TRFBWEC128F42B8346,TRFUJVJ128F426F2A2,4500.0,TRDPGXU128F9339C2A,3401.0,TRWSYHO128F4282346,3122.0
TRDVYVJ128F426F7C0,TRFUJVJ128F426F2A2,3985.0,TRDPGXU128F9339C2A,3634.0,TRGUCIR128F933D817,2801.0
TREKVGV128E0788976,TRFUJVJ128F426F2A2,2977.0,TRWSYHO128F4282346,2510.0,TREBGAA128E078FC52,2368.0
TRUUBKE128F426F5C0,TRFUJVJ128F426F2A2,3136.0,TRDPGXU128F9339C2A,2180.0,TRTLIKK128E07862DA,2127.0
TRJZYIT128F426D5BE,TRFUJVJ128F426F2A2,4436.0,TRWSYHO128F4282346,3564.0,TRQAWKR128F425EEC3,3240.0
TRYOIZM128F14567A0,TRFUJVJ128F426F2A2,2508.0,TRDPGXU128F9339C2A,2241.0,TRQAWKR128F425EEC3,2060.0
TRQYFLB128E078941E,TRFUJVJ128F426F2A2,3347.0,TRWSYHO128F4282346,3295.0,TREBGAA128E078FC52,2643.0
TRZUSDI128F4259806,TRWSYHO128F4282346,2749.0,TRFUJVJ128F426F2A2,2386.0,TREBGAA128E078FC52,2034.0
